source,target,type
949,860,indicative
860,889,indicative
862,866,indicative
939,862,indicative
862,872,indicative
865,875,indicative
865,888,indicative
865,889,indicative
866,947,indicative
866,960,indicative
866,869,indicative
867,889,indicative
867,883,indicative
867,869,indicative
868,888,indicative
868,890,indicative
939,868,indicative
869,872,indicative
869,886,indicative
871,890,indicative
871,872,indicative
874,872,indicative
888,872,indicative
939,872,indicative
874,890,indicative
875,886,indicative
883,877,indicative
952,878,indicative
878,886,indicative
878,961,indicative
888,880,indicative
881,880,indicative
883,880,indicative
881,887,indicative
940,881,indicative
941,881,indicative
948,883,indicative
942,883,indicative
883,957,indicative
943,884,indicative
960,884,indicative
952,884,indicative
951,886,indicative
938,886,indicative
943,886,indicative
943,887,indicative
889,887,indicative
939,888,indicative
888,957,indicative
943,888,indicative
943,889,indicative
938,948,indicative
938,949,indicative
938,942,indicative
939,956,indicative
939,952,indicative
939,940,indicative
940,951,indicative
940,952,indicative
940,961,indicative
941,951,indicative
941,952,indicative
941,961,indicative
949,942,indicative
942,957,indicative
943,942,indicative
943,955,indicative
943,947,indicative
943,957,indicative
944,947,indicative
944,945,indicative
945,957,indicative
945,955,indicative
949,945,indicative
949,947,indicative
947,957,indicative
947,955,indicative
951,948,indicative
948,960,indicative
948,961,indicative
949,956,indicative
949,955,indicative
949,960,indicative
951,952,indicative
952,961,indicative
954,953,indicative
954,961,indicative
960,957,indicative
