source,target,type
390,224,indicative
227,225,indicative
862,225,indicative
226,225,indicative
226,350,indicative
860,226,indicative
226,783,indicative
227,399,indicative
227,813,indicative
691,227,indicative
237,767,indicative
237,364,indicative
237,307,indicative
238,729,indicative
624,238,indicative
627,238,indicative
239,665,indicative
239,342,indicative
239,960,indicative
240,346,indicative
326,240,indicative
240,458,indicative
241,775,indicative
241,829,indicative
241,953,indicative
242,567,indicative
242,956,indicative
632,242,indicative
243,252,indicative
244,247,indicative
244,254,indicative
244,296,indicative
276,246,indicative
799,246,indicative
336,246,indicative
326,247,indicative
329,247,indicative
810,247,indicative
569,248,indicative
648,248,indicative
317,248,indicative
618,251,indicative
947,251,indicative
938,251,indicative
674,252,indicative
512,253,indicative
253,286,indicative
253,961,indicative
362,254,indicative
655,254,indicative
339,254,indicative
746,255,indicative
466,255,indicative
570,255,indicative
260,266,indicative
260,794,indicative
260,281,indicative
261,349,indicative
261,581,indicative
261,348,indicative
262,277,indicative
262,720,indicative
262,767,indicative
263,584,indicative
263,571,indicative
263,562,indicative
264,799,indicative
264,445,indicative
264,886,indicative
265,297,indicative
265,272,indicative
266,329,indicative
266,767,indicative
266,814,indicative
267,305,indicative
267,301,indicative
267,369,indicative
268,576,indicative
268,556,indicative
268,880,indicative
269,744,indicative
269,288,indicative
269,668,indicative
270,668,indicative
270,344,indicative
270,643,indicative
271,820,indicative
495,271,indicative
271,292,indicative
272,301,indicative
272,666,indicative
272,344,indicative
275,746,indicative
275,767,indicative
275,280,indicative
276,810,indicative
276,573,indicative
276,584,indicative
277,606,indicative
277,486,indicative
277,458,indicative
280,750,indicative
540,280,indicative
280,368,indicative
281,593,indicative
281,714,indicative
281,288,indicative
526,282,indicative
697,282,indicative
282,782,indicative
576,283,indicative
283,774,indicative
525,283,indicative
794,285,indicative
285,295,indicative
369,285,indicative
286,394,indicative
329,286,indicative
505,286,indicative
577,287,indicative
526,287,indicative
558,287,indicative
288,663,indicative
329,288,indicative
947,288,indicative
433,291,indicative
729,291,indicative
291,768,indicative
868,292,indicative
640,292,indicative
393,292,indicative
445,295,indicative
627,295,indicative
295,767,indicative
529,296,indicative
501,296,indicative
331,296,indicative
320,297,indicative
297,367,indicative
297,762,indicative
298,342,indicative
441,298,indicative
326,298,indicative
710,300,indicative
300,783,indicative
317,300,indicative
340,301,indicative
301,957,indicative
327,301,indicative
326,302,indicative
320,302,indicative
302,357,indicative
517,303,indicative
648,303,indicative
451,303,indicative
322,304,indicative
612,304,indicative
714,304,indicative
493,305,indicative
305,753,indicative
573,305,indicative
688,306,indicative
639,306,indicative
458,306,indicative
659,307,indicative
585,307,indicative
750,307,indicative
308,748,indicative
493,308,indicative
420,308,indicative
316,519,indicative
316,597,indicative
316,643,indicative
317,703,indicative
317,531,indicative
317,597,indicative
318,650,indicative
318,888,indicative
318,811,indicative
319,405,indicative
319,565,indicative
319,372,indicative
320,765,indicative
320,569,indicative
320,729,indicative
321,888,indicative
321,825,indicative
321,829,indicative
322,750,indicative
322,584,indicative
322,463,indicative
323,343,indicative
323,344,indicative
323,327,indicative
324,829,indicative
324,335,indicative
324,724,indicative
325,798,indicative
325,335,indicative
325,957,indicative
938,326,indicative
326,745,indicative
326,598,indicative
327,329,indicative
327,800,indicative
327,357,indicative
687,328,indicative
328,890,indicative
328,860,indicative
329,961,indicative
334,329,indicative
630,329,indicative
330,402,indicative
688,330,indicative
330,363,indicative
331,374,indicative
331,829,indicative
331,350,indicative
332,366,indicative
332,354,indicative
332,464,indicative
333,827,indicative
333,707,indicative
333,668,indicative
334,750,indicative
334,662,indicative
334,780,indicative
335,813,indicative
335,825,indicative
687,335,indicative
336,434,indicative
336,473,indicative
336,728,indicative
337,814,indicative
337,361,indicative
337,811,indicative
855,338,indicative
496,338,indicative
338,405,indicative
339,829,indicative
339,458,indicative
339,742,indicative
340,439,indicative
340,349,indicative
340,402,indicative
799,341,indicative
357,341,indicative
797,341,indicative
342,767,indicative
886,342,indicative
464,342,indicative
800,343,indicative
799,343,indicative
366,343,indicative
366,344,indicative
721,344,indicative
349,344,indicative
446,345,indicative
793,345,indicative
796,345,indicative
346,822,indicative
700,346,indicative
346,350,indicative
951,347,indicative
347,884,indicative
515,347,indicative
512,348,indicative
540,348,indicative
548,348,indicative
940,349,indicative
941,349,indicative
868,349,indicative
606,350,indicative
395,350,indicative
951,350,indicative
821,351,indicative
699,351,indicative
881,351,indicative
352,776,indicative
687,352,indicative
352,766,indicative
357,353,indicative
464,353,indicative
825,353,indicative
687,354,indicative
358,354,indicative
942,354,indicative
497,355,indicative
355,592,indicative
552,355,indicative
356,813,indicative
799,356,indicative
356,887,indicative
734,357,indicative
455,357,indicative
857,357,indicative
952,358,indicative
358,735,indicative
358,665,indicative
795,359,indicative
823,359,indicative
803,359,indicative
825,360,indicative
797,360,indicative
810,360,indicative
577,361,indicative
704,361,indicative
514,361,indicative
362,364,indicative
362,759,indicative
797,362,indicative
363,735,indicative
799,363,indicative
711,363,indicative
640,364,indicative
552,364,indicative
711,364,indicative
366,831,indicative
528,366,indicative
366,731,indicative
367,771,indicative
494,367,indicative
567,367,indicative
746,368,indicative
710,368,indicative
627,368,indicative
369,745,indicative
537,369,indicative
581,369,indicative
513,372,indicative
529,372,indicative
605,372,indicative
532,374,indicative
802,374,indicative
630,374,indicative
389,821,indicative
389,401,indicative
389,565,indicative
390,427,indicative
390,455,indicative
390,752,indicative
526,392,indicative
392,820,indicative
392,762,indicative
393,743,indicative
696,393,indicative
393,476,indicative
707,394,indicative
536,394,indicative
951,394,indicative
395,745,indicative
423,395,indicative
947,395,indicative
528,396,indicative
552,396,indicative
583,396,indicative
690,397,indicative
397,771,indicative
519,397,indicative
398,399,indicative
458,399,indicative
399,768,indicative
567,399,indicative
494,400,indicative
567,401,indicative
430,401,indicative
711,401,indicative
558,402,indicative
793,402,indicative
402,751,indicative
404,743,indicative
792,404,indicative
404,768,indicative
518,405,indicative
702,405,indicative
636,405,indicative
419,464,indicative
419,433,indicative
419,446,indicative
420,881,indicative
420,550,indicative
