,CourseCode,PedagogicalName,NRegistrations
162,AR-302(j),Bachelor semestre 6b,13
163,AR-302(j),Semestre printemps,2
164,AR-302(k),Bachelor semestre 6,24
165,AR-302(k),Bachelor semestre 6b,22
166,AR-302(k),Semestre printemps,2
167,AR-311,Bachelor semestre 5,226
168,AR-312,Bachelor semestre 5,218
169,AR-312,Bachelor semestre 5b,104
170,AR-312,Semestre automne,4
171,AR-318,Bachelor semestre 6,30
172,AR-321,Bachelor semestre 5,467
173,AR-321,Bachelor semestre 5b,400
174,AR-321,Semestre automne,7
175,AR-322,Bachelor semestre 6,464
176,AR-322,Bachelor semestre 6b,285
177,AR-322,Semestre printemps,2
178,AR-323,Bachelor semestre 5,102
179,AR-323,Bachelor semestre 5b,106
180,AR-323,Bachelor semestre 6,351
181,AR-323,Bachelor semestre 6b,276
182,AR-323,Semestre automne,4
183,AR-324,Bachelor semestre 6,450
184,AR-324,Bachelor semestre 6b,276
185,AR-324,Semestre printemps,1
186,AR-326,Bachelor semestre 6,51
187,AR-328,Bachelor semestre 6,42
188,AR-331,Bachelor semestre 5,103
189,AR-331,Bachelor semestre 5b,110
190,AR-331,Bachelor semestre 6,311
191,AR-331,Bachelor semestre 6b,174
192,AR-332,Bachelor semestre 6,407
193,AR-332,Bachelor semestre 6b,279
194,AR-333,Bachelor semestre 5,224
195,AR-333,Bachelor semestre 5b,298
196,AR-334,Bachelor semestre 6,215
197,AR-334,Bachelor semestre 6b,296
198,AR-335,Bachelor semestre 5,226
199,AR-335,Bachelor semestre 6b,288
200,AR-336,Bachelor semestre 6,211
201,AR-336,Bachelor semestre 6b,288
202,AR-337,Bachelor semestre 5,225
203,AR-337,Bachelor semestre 5b,107
204,AR-337,Semestre automne,6
205,AR-338,Bachelor semestre 6,67
206,AR-342,Bachelor semestre 6,39
207,AR-344,Bachelor semestre 6,22
208,AR-350,Bachelor semestre 6,108
209,AR-351,Bachelor semestre 3,81
210,AR-351,Bachelor semestre 5,384
211,AR-352,Bachelor semestre 6,21
212,AR-356,Bachelor semestre 6,93
213,AR-358,Bachelor semestre 6,18
214,AR-360,Bachelor semestre 6,35
215,AR-362,Bachelor semestre 6,211
216,AR-364,Bachelor semestre 6,67
217,AR-365,Bachelor semestre 6,212
218,AR-366,Bachelor semestre 6,212
219,AR-368,Bachelor semestre 6,23
220,AR-381,Bachelor semestre 5b,82
221,AR-381,Bachelor semestre 6b,105
222,AR-382,Bachelor semestre 6b,184
223,AR-383,Bachelor semestre 5,229
224,AR-388,Bachelor semestre 6b,88
225,AR-401(a),Master semestre 1,47
226,AR-401(a),Master semestre 3,35
227,AR-401(a),Semestre automne,26
228,AR-401(b),Master semestre 1,72
229,AR-401(b),Master semestre 3,46
230,AR-401(b),Semestre automne,46
231,AR-401(c),Master semestre 1,63
232,AR-401(c),Master semestre 3,24
233,AR-401(c),Semestre automne,30
234,AR-401(d),Master semestre 1,11
235,AR-401(d),Master semestre 3,35
236,AR-401(d),Semestre automne,25
237,AR-401(e),Master semestre 1,61
238,AR-401(e),Master semestre 3,29
239,AR-401(e),Semestre automne,28
240,AR-401(f),Master semestre 1,42
241,AR-401(f),Master semestre 3,13
242,AR-401(f),Semestre automne,26
243,AR-401(g),Master semestre 1,42
244,AR-401(g),Master semestre 3,6
245,AR-401(g),Semestre automne,8
246,AR-401(h),Master semestre 1,11
247,AR-401(h),Master semestre 3,9
248,AR-401(h),Semestre automne,9
249,AR-401(i),Master semestre 1,52
250,AR-401(i),Master semestre 3,14
251,AR-401(i),Semestre automne,56
252,AR-401(j),Master semestre 1,36
253,AR-401(j),Semestre automne,14
254,AR-401(k),Master semestre 1,8
255,AR-401(k),Semestre automne,5
256,AR-401(l),Master semestre 1,11
257,AR-401(l),Semestre automne,3
258,AR-401(m),Master semestre 3,20
259,AR-401(m),Semestre automne,1
260,AR-401(n),Master semestre 1,20
261,AR-401(n),Master semestre 3,15
262,AR-401(n),Semestre automne,21
263,AR-401(o),Master semestre 3,30
264,AR-401(o),Semestre automne,5
265,AR-401(p),Master semestre 3,13
266,AR-401(p),Semestre automne,3
267,AR-401(q),Master semestre 3,5
268,AR-401(r),Master semestre 1,26
269,AR-401(r),Semestre automne,7
270,AR-401(s),Master semestre 1,35
271,AR-401(t),Master semestre 1,9
272,AR-401(t),Semestre automne,3
273,AR-401(u),Master semestre 1,8
274,AR-401(u),Semestre automne,1
275,AR-402(a),Master semestre 2,83
276,AR-402(a),Semestre printemps,23
277,AR-402(b),Master semestre 2,117
278,AR-402(b),Semestre printemps,27
279,AR-402(c),Master semestre 2,70
280,AR-402(c),Semestre printemps,22
281,AR-402(d),Master semestre 2,67
282,AR-402(d),Semestre printemps,16
283,AR-402(e),Master semestre 2,100
284,AR-402(e),Semestre printemps,20
285,AR-402(f),Master semestre 2,33
286,AR-402(f),Semestre printemps,26
287,AR-402(g),Master semestre 2,28
288,AR-402(g),Semestre printemps,9
289,AR-402(h),Master semestre 2,30
290,AR-402(h),Semestre printemps,10
291,AR-402(i),Master semestre 2,68
292,AR-402(i),Semestre printemps,21
293,AR-402(j),Master semestre 2,28
294,AR-402(j),Semestre printemps,16
295,AR-402(l),Master semestre 2,13
296,AR-402(l),Semestre printemps,2
297,AR-402(m),Master semestre 2,19
298,AR-402(m),Semestre printemps,8
299,AR-402(n),Master semestre 2,54
300,AR-402(n),Semestre printemps,16
301,AR-402(o),Master semestre 2,17
302,AR-402(o),Semestre printemps,4
303,AR-402(p),Master semestre 2,7
304,AR-402(p),Semestre printemps,3
305,AR-402(q),Master semestre 2,7
306,AR-402(q),Semestre printemps,1
307,AR-403,Master semestre 3,38
